product_id,optimal_price,predicted_qty,expected_revenue
bed1,45.95,8.806666666666667,404.66633333333334
bed2,89.9,19.273333333333333,1732.6726666666668
bed3,89.79183673469389,2.839166666666667,254.93398979591842
bed4,47.9,3.9033333333333333,186.96966666666665
bed5,213.8,34.473333333333336,7370.398666666668
computers1,109.9,2.1633333333333336,237.75033333333337
computers2,109.9,2.5533333333333332,280.61133333333333
computers3,165.36505359499998,13.7975,2281.624326977012
computers4,159.99,5.676666666666667,908.2099000000001
computers5,150.515,3.216666666666667,484.1565833333333
computers6,150.195454575,2.6733333333333333,401.52251523050006
consoles1,36.2,11.213333333333333,405.92266666666666
consoles2,33.544285713,12.631666666666666,423.720235698045
cool1,89.77627016195919,13.32,1195.8199185572964
cool2,129.99,7.036666666666667,914.6963000000001
cool3,65.0,3.2466666666666666,211.03333333333333
cool4,164.0809090857143,11.466666666666667,1881.461090849524
cool5,99.3906693877551,8.313333333333333,826.2677648435373
furniture1,38.4,14.1925,544.992
furniture2,89.54625849306122,11.766666666666667,1053.6609749350205
furniture3,38.4,2.0866666666666664,80.12799999999999
furniture4,99.9,15.553333333333333,1553.778
garden1,89.99,6.043333333333333,543.8395666666667
garden10,59.9,18.95,1135.105
garden2,56.2265306122449,19.260833333333334,1082.9698350340136
garden3,120.499750005,2.3533333333333335,283.57607834510003
garden4,59.9,15.833333333333334,948.4166666666666
garden5,89.8212244887347,6.283333333333333,564.3766938708831
garden6,59.9,25.07,1501.693
garden7,59.9,11.253333333333334,674.0746666666666
garden8,185.342499995,8.193333333333333,1518.5728832923667
garden9,59.9,15.983333333333333,957.4016666666666
health10,53.21202101,11.246666666666666,598.4578629591333
health2,330.0,17.8275,5883.075
health3,122.99,14.623333333333333,1798.5237666666665
health5,349.9,9.983333333333333,3493.1683333333326
health6,66.99,20.676666666666666,1385.1299
health7,64.99,13.886666666666667,902.4944666666667
health8,89.78591836734694,17.673333333333332,1586.816463945578
health9,23.99,19.473333333333333,467.16526666666664
perfumery1,56.99,12.38,705.5362000000001
perfumery2,142.5,8.9,1268.25
watches1,243.9268,12.24,2985.6640319999997
watches2,170.4676,4.803333333333334,818.8127053333334
watches3,78.0,19.688333333333333,1535.69
watches4,108.0,5.426666666666667,586.08
watches5,227.489285695,29.338333333333335,6674.156493481809
watches6,162.084090915,11.03,1787.7875227924499
watches7,347.81,15.748333333333333,5477.427816666666
watches8,239.9,9.01,2161.499
